File name,Date,category_name,category_value
20240418,2024-04-18,Benzos,12
20240410,2024-04-10,Benzos,12
20240405,2024-04-05,Benzos,12
20240416,2024-04-16,Benzos,12
20240411,2024-04-11,Benzos,12
20240406,2024-04-06,Benzos,12
20240422,2024-04-22,Benzos,12
20240421,2024-04-21,Benzos,12
20240329,2024-03-29,Benzos,12
20240407,2024-04-07,Benzos,12
20240408,2024-04-08,Benzos,12
20240414,2024-04-14,Benzos,12
20240413,2024-04-13,Benzos,12
20240427,2024-04-27,Benzos,12
20240423,2024-04-23,Benzos,12
20240420,2024-04-20,Benzos,12
20240331,2024-03-31,Benzos,12
20240327,2024-03-27,Benzos,12
20240424,2024-04-24,Benzos,12
20240401,2024-04-01,Benzos,12
20240412,2024-04-12,Benzos,12
20240405,2024-04-05,Benzos,12
20240428,2024-04-28,Benzos,12
20240415,2024-04-15,Benzos,12
20240330,2024-03-30,Benzos,12
20240425,2024-04-25,Cannabis,192
20240402,2024-04-02,Cannabis,192
20240412,2024-04-12,Cannabis,192
20240424,2024-04-24,Cannabis,192
20240404,2024-04-04,Cannabis,192
20240407,2024-04-07,Cannabis,192
20240328,2024-03-28,Cannabis,192
20240403,2024-04-03,Cannabis,192
20240409,2024-04-09,Cannabis,192
20240406,2024-04-06,Cannabis,192
20240419,2024-04-19,Cannabis,192
20240417,2024-04-17,Cannabis,192
20240408,2024-04-08,Cannabis,192
20240422,2024-04-22,Cannabis,192
20240418,2024-04-18,Cannabis,192
20240410,2024-04-10,Cannabis,192
20240405,2024-04-05,Cannabis,192
20240416,2024-04-16,Cannabis,192
20240411,2024-04-11,Cannabis,192
20240406,2024-04-06,Cannabis,192
20240422,2024-04-22,Cannabis,192
20240421,2024-04-21,Cannabis,192
20240329,2024-03-29,Cannabis,192
20240407,2024-04-07,Cannabis,192
20240408,2024-04-08,Cannabis,192
20240414,2024-04-14,Cannabis,192
20240413,2024-04-13,Cannabis,192
20240427,2024-04-27,Cannabis,192
20240423,2024-04-23,Cannabis,192
20240420,2024-04-20,Cannabis,192
20240331,2024-03-31,Cannabis,192
20240327,2024-03-27,Cannabis,192
20240424,2024-04-24,Cannabis,192
20240401,2024-04-01,Cannabis,192
20240412,2024-04-12,Cannabis,192
20240405,2024-04-05,Cannabis,192
20240428,2024-04-28,Cannabis,192
20240415,2024-04-15,Cannabis,192
20240330,2024-03-30,Cannabis,192
20240425,2024-04-25,Dissociatives,12
20240402,2024-04-02,Dissociatives,12
20240412,2024-04-12,Dissociatives,12
20240424,2024-04-24,Dissociatives,12
20240404,2024-04-04,Dissociatives,12
20240407,2024-04-07,Dissociatives,12
20240328,2024-03-28,Dissociatives,12
20240403,2024-04-03,Dissociatives,12
20240409,2024-04-09,Dissociatives,12
20240406,2024-04-06,Dissociatives,12
20240419,2024-04-19,Dissociatives,12
20240417,2024-04-17,Dissociatives,12
20240408,2024-04-08,Dissociatives,12
20240422,2024-04-22,Dissociatives,12
20240418,2024-04-18,Dissociatives,12
20240410,2024-04-10,Dissociatives,12
20240405,2024-04-05,Dissociatives,12
20240416,2024-04-16,Dissociatives,12
20240411,2024-04-11,Dissociatives,12
20240406,2024-04-06,Dissociatives,12
20240422,2024-04-22,Dissociatives,12
20240421,2024-04-21,Dissociatives,12
20240329,2024-03-29,Dissociatives,12
20240407,2024-04-07,Dissociatives,12
20240408,2024-04-08,Dissociatives,12
20240414,2024-04-14,Dissociatives,12
20240413,2024-04-13,Dissociatives,12
20240427,2024-04-27,Dissociatives,12
20240423,2024-04-23,Dissociatives,12
20240420,2024-04-20,Dissociatives,12
20240331,2024-03-31,Dissociatives,12
20240327,2024-03-27,Dissociatives,12
20240424,2024-04-24,Dissociatives,12
20240401,2024-04-01,Dissociatives,12
20240412,2024-04-12,Dissociatives,12
20240405,2024-04-05,Dissociatives,12
20240428,2024-04-28,Dissociatives,12
20240415,2024-04-15,Dissociatives,12
20240330,2024-03-30,Dissociatives,12
20240425,2024-04-25,Ecstasy,76
20240402,2024-04-02,Ecstasy,76
20240412,2024-04-12,Ecstasy,76
20240424,2024-04-24,Ecstasy,76
20240404,2024-04-04,Ecstasy,76
20240407,2024-04-07,Ecstasy,76
20240328,2024-03-28,Ecstasy,76
20240403,2024-04-03,Ecstasy,76
20240409,2024-04-09,Ecstasy,76
20240406,2024-04-06,Ecstasy,76
20240419,2024-04-19,Ecstasy,76
20240417,2024-04-17,Ecstasy,76
20240408,2024-04-08,Ecstasy,76
20240422,2024-04-22,Ecstasy,76
20240418,2024-04-18,Ecstasy,76
20240410,2024-04-10,Ecstasy,76
20240405,2024-04-05,Ecstasy,76
20240416,2024-04-16,Ecstasy,76
20240411,2024-04-11,Ecstasy,76
20240406,2024-04-06,Ecstasy,76
20240422,2024-04-22,Ecstasy,76
20240421,2024-04-21,Ecstasy,76
20240329,2024-03-29,Ecstasy,76
20240407,2024-04-07,Ecstasy,76
20240408,2024-04-08,Ecstasy,76
20240414,2024-04-14,Ecstasy,76
20240413,2024-04-13,Ecstasy,76
20240427,2024-04-27,Ecstasy,76
20240423,2024-04-23,Ecstasy,76
20240420,2024-04-20,Ecstasy,76
20240331,2024-03-31,Ecstasy,76
20240327,2024-03-27,Ecstasy,76
20240424,2024-04-24,Ecstasy,76
20240401,2024-04-01,Ecstasy,76
20240412,2024-04-12,Ecstasy,76
20240405,2024-04-05,Ecstasy,76
20240428,2024-04-28,Ecstasy,76
20240415,2024-04-15,Ecstasy,76
20240330,2024-03-30,Ecstasy,76
20240425,2024-04-25,Kits de test de drogue,0
20240402,2024-04-02,Kits de test de drogue,0
20240412,2024-04-12,Kits de test de drogue,0
20240424,2024-04-24,Kits de test de drogue,0
20240404,2024-04-04,Kits de test de drogue,0
20240407,2024-04-07,Kits de test de drogue,0
20240328,2024-03-28,Kits de test de drogue,0
20240403,2024-04-03,Kits de test de drogue,0
20240409,2024-04-09,Kits de test de drogue,0
20240406,2024-04-06,Kits de test de drogue,0
20240419,2024-04-19,Kits de test de drogue,0
20240417,2024-04-17,Kits de test de drogue,0
20240408,2024-04-08,Kits de test de drogue,0
20240422,2024-04-22,Kits de test de drogue,0
20240418,2024-04-18,Kits de test de drogue,0
20240410,2024-04-10,Kits de test de drogue,0
20240405,2024-04-05,Kits de test de drogue,0
20240416,2024-04-16,Kits de test de drogue,0
20240411,2024-04-11,Kits de test de drogue,0
20240406,2024-04-06,Kits de test de drogue,0
20240422,2024-04-22,Kits de test de drogue,0
20240421,2024-04-21,Kits de test de drogue,0
20240329,2024-03-29,Kits de test de drogue,0
20240407,2024-04-07,Kits de test de drogue,0
20240408,2024-04-08,Kits de test de drogue,0
20240414,2024-04-14,Kits de test de drogue,0
20240413,2024-04-13,Kits de test de drogue,0
20240427,2024-04-27,Kits de test de drogue,0
20240423,2024-04-23,Kits de test de drogue,0
20240420,2024-04-20,Kits de test de drogue,0
20240331,2024-03-31,Kits de test de drogue,0
20240327,2024-03-27,Kits de test de drogue,0
20240424,2024-04-24,Kits de test de drogue,0
20240401,2024-04-01,Kits de test de drogue,0
20240412,2024-04-12,Kits de test de drogue,0
20240405,2024-04-05,Kits de test de drogue,0
20240428,2024-04-28,Kits de test de drogue,0
20240415,2024-04-15,Kits de test de drogue,0
20240330,2024-03-30,Kits de test de drogue,0
20240425,2024-04-25,Le Bazar,0
20240402,2024-04-02,Le Bazar,0
20240412,2024-04-12,Le Bazar,0
20240424,2024-04-24,Le Bazar,0
20240404,2024-04-04,Le Bazar,0
20240407,2024-04-07,Le Bazar,0
20240328,2024-03-28,Le Bazar,0
20240403,2024-04-03,Le Bazar,0
20240409,2024-04-09,Le Bazar,0
20240406,2024-04-06,Le Bazar,0
20240419,2024-04-19,Le Bazar,0
20240417,2024-04-17,Le Bazar,0
20240408,2024-04-08,Le Bazar,0
20240422,2024-04-22,Le Bazar,0
20240418,2024-04-18,Le Bazar,0
20240410,2024-04-10,Le Bazar,0
20240405,2024-04-05,Le Bazar,0
20240416,2024-04-16,Le Bazar,0
20240411,2024-04-11,Le Bazar,0
20240406,2024-04-06,Le Bazar,0
20240422,2024-04-22,Le Bazar,0
20240421,2024-04-21,Le Bazar,0
20240329,2024-03-29,Le Bazar,0
20240407,2024-04-07,Le Bazar,0
20240408,2024-04-08,Le Bazar,0
20240414,2024-04-14,Le Bazar,0
20240413,2024-04-13,Le Bazar,0
20240427,2024-04-27,Le Bazar,0
20240423,2024-04-23,Le Bazar,0
20240420,2024-04-20,Le Bazar,0
20240331,2024-03-31,Le Bazar,0
20240327,2024-03-27,Le Bazar,0
20240424,2024-04-24,Le Bazar,0
20240401,2024-04-01,Le Bazar,0
20240412,2024-04-12,Le Bazar,0
